Value   Hex Code
-11 #301934
-10 #00008B
-9  #181896
-8  #3030A1
-7  #4C4CAE
-6  #6464B8
-5  #8080C5
-4  #9898D0
-3  #B0B0DB
-2  #CCCCE8
-1  #E4E4F3
0   #FFFFFF
1   #FBF7F7
2   #F8EFEF
3   #F3E5E5
4   #F0DDDD
5   #EBD4D4
6   #E8CCCC
7   #E4C4C4
8   #E0BBBB
9   #DCB3B3
10  #D8A9A9
11  #D4A1A1
12  #D19999
13  #CD9090
14  #C98888
15  #C57F7F
16  #C17777
17  #BD6F6F
18  #B96565
19  #B55D5D
20  #B15454
21  #AE4C4C
22  #AA4444
23  #A63B3B
24  #A23333
25  #9E2929
26  #9A2121
27  #971919
28  #921010
29  #8F0808
30  #8B0000
31  #000000
